sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
sigma,0.6,2.6826957952797246,1.0,0.005,0.7,10,100.0,0.0006622336704540377,1.1446507467152793,6.015746032815155,6.885928188511347,80.0724904314926,69.95364364306822,13.990728728613702,0.7111387756781736,2.1638468737321874,3.1342856219759376,92862
sigma,0.6,5.179474679231207,1.0,0.005,0.7,10,100.0,0.00011983461662457007,1.1116952972647067,5.98525695403866,6.653782008725662,77.80934543794689,69.99161157683628,13.9983223153673,0.6397655678884732,2.1349924273106495,3.2269196894335774,92862
sigma,0.6,10.0,1.0,0.005,0.7,10,100.0,2.301511549807067e-05,1.0938085439537604,5.955148201499936,6.5137919833115,76.5648358876652,69.99838894191514,13.999677788383025,0.5851420239850372,2.0903046635716094,3.3248755240603285,92862
sigma,0.6,0.001,10.0,0.005,0.7,10,1000.0,0.08610829553796717,1.6192353056041262,4.901188346891007,7.936177210701442,103.58639993549386,63.97241931236575,12.794483862473134,0.10562087914663182,0.22610673500721312,6.873788523373021,92862
sigma,0.6,0.0019306977288832496,10.0,0.005,0.7,10,1000.0,0.08557395559079062,1.61666592720948,4.90457474372442,7.929058875631438,103.48250002646728,64.00982310865422,12.80196462173081,0.1059875669806252,0.22803907926261363,6.864008732025951,92862
sigma,0.6,0.003727593720314938,10.0,0.005,0.7,10,1000.0,0.08455602696982467,1.6117716166011995,4.911031228720349,7.915460742693572,103.2840628622941,64.08107811210431,12.816215622420879,0.10669151529709392,0.2317348577102781,6.845358004571749,92862
sigma,0.6,0.0071968567300115215,10.0,0.005,0.7,10,1000.0,0.0826404544182191,1.6025620743682245,4.923200708039179,7.889734739206378,102.90879314163335,64.21516819072542,12.843033638145121,0.10803593591675577,0.23874306072749749,6.810187365210626,92862
sigma,0.6,0.013894954943731374,10.0,0.005,0.7,10,1000.0,0.0791179187622768,1.5856244497073337,4.945648718771455,7.8419415281477685,102.21212003155048,64.46174568663864,12.892349137327725,0.1105787329200829,0.2518214537816024,6.745250675970589,92862
sigma,0.6,0.026826957952797246,10.0,0.005,0.7,10,1000.0,0.07291056559386677,1.5557404327534108,4.985446862549905,7.756061259412523,100.96173625188646,64.89626040842842,12.97925208168576,0.11530341216064349,0.27552834358890876,6.6299161625646885,92862
sigma,0.6,0.0517947467923121,10.0,0.005,0.7,10,1000.0,0.06277101433567167,1.5066586982322356,5.0512374539616065,7.610490846847706,98.84589424405672,65.60602899650247,13.121205799300547,0.12381237183779378,0.31639768949152164,6.438584139370137,92862
sigma,0.6,0.1,10.0,0.005,0.7,10,1000.0,0.04818711708620005,1.434707056535539,5.14815119472231,7.386088847179964,95.59008617325085,66.62690180396628,13.325380360793288,0.13836304661350154,0.3814606645987619,6.154795927994449,92862
sigma,0.6,0.19306977288832497,10.0,0.005,0.7,10,1000.0,0.030945824233092334,1.3447574478224253,5.268425708764671,7.084754710160431,91.219997414418,67.83379230368358,13.56675846073661,0.16130703059200624,0.47408392882129624,5.7978505798500874,92862
sigma,0.6,0.3727593720314938,10.0,0.005,0.7,10,1000.0,0.015435401190004971,1.2518243095848192,5.388029909703123,6.744866821736467,86.27513294028823,68.91952191669955,13.783904383339861,0.1932724152195335,0.589087083447532,5.433736117993074,92862
sigma,0.6,0.7196856730011514,10.0,0.005,0.7,10,1000.0,0.005565674365938356,1.1729290427920314,5.481404114786967,6.429298081513379,81.64806311798496,69.61040279438433,13.922080558876877,0.23002783166464283,0.7114491999182886,5.136442409540193,92862
sigma,0.6,1.3894954943731375,10.0,0.005,0.7,10,1000.0,0.001383952956328649,1.1173665383061369,5.539756369763878,6.189938397942436,78.10741089075015,69.90312329305696,13.98062465861136,0.2612484160718341,0.8205087644045344,4.937618160912272,92862
sigma,0.6,2.6826957952797246,10.0,0.005,0.7,10,1000.0,0.0002418247634464743,1.0843161158585317,5.569504217682356,6.039103180575043,75.88377309592191,69.98307226655875,13.996614453311821,0.27688995108902953,0.8996579238067808,4.826837671792369,92862
sigma,0.6,5.179474679231207,10.0,0.005,0.7,10,1000.0,3.403338388496824e-05,1.0669220342945374,5.580703558963316,5.954175593923906,74.68200063291582,69.99761766312805,13.999523532625693,0.27646792002745296,0.9451579543007019,4.778850593046153,92862
sigma,0.6,10.0,10.0,0.005,0.7,10,1000.0,5.003293353955662e-06,1.0582198310381286,5.582076677490294,5.907064238495657,74.07501755177167,69.99964976946522,13.999929953893025,0.2678230026116481,0.9649756232763594,4.767271420218968,92862
