sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.33928571428571425,0.1,1.0,0.005,0.7,10,5.0,0.0018355813264802068,1.1370561523796334,6.309633139226982,7.17440718021646,79.44782953374181,69.87150930714655,13.974301861429277,0.0963527017079687,4.51862881260812,1.4107166242546345,92862
delta,0.40714285714285714,0.1,1.0,0.005,0.7,10,5.0,0.006453154407057737,1.2104092658078414,6.295241008010617,7.619818046589546,84.18188155438973,69.54827919150615,13.909655838301223,0.1019433455547353,4.553256143342972,1.4351446728010693,92862
delta,0.475,0.1,1.0,0.005,0.7,10,5.0,0.01667457010291118,1.2991813164990993,6.266271102852766,8.14102234094452,89.42626185925229,68.83278009279645,13.766556018559225,0.10768963912329019,4.653759155971479,1.471995186346006,92862
delta,0.5428571428571428,0.1,1.0,0.005,0.7,10,5.0,0.033271451830842236,1.3871095007646066,6.221002528084363,8.629211710986457,93.86708476780728,67.67099837184129,13.534199674368292,0.11394756749677626,4.829920599003207,1.5219321591317252,92862
delta,0.6107142857142857,0.1,1.0,0.005,0.7,10,5.0,0.05501441162882892,1.4643120338134357,6.162304826434375,9.02353711337447,96.8627638182527,66.14899118598225,13.229798237196402,0.12079287248607903,5.0656487978791285,1.583760092438391,92862
delta,0.6785714285714285,0.1,1.0,0.005,0.7,10,5.0,0.08016931096899149,1.5297608912926,6.094425873061896,9.323014355491848,98.49847102832581,64.3881482321709,12.877629646434237,0.12810919260503145,5.339504691561219,1.654756469399513,92862
delta,0.7464285714285713,0.1,1.0,0.005,0.7,10,5.0,0.10743953847330556,1.5862631888562568,6.020678740561489,9.55038105808214,99.10850627638479,62.47923230686894,12.495846461373803,0.1357524659883583,5.636160504334732,1.7322405683031068,92862
delta,0.8142857142857143,0.1,1.0,0.005,0.7,10,5.0,0.1360339151030412,1.6369682120823679,5.9431658242247885,9.728773533390283,98.99995121055031,60.47762594278703,12.095525188557412,0.1436145718840332,5.946655217006284,1.8142050225522715,92862
delta,0.8821428571428571,0.1,1.0,0.005,0.7,10,5.0,0.16549039445432046,1.6843592585093377,5.86316043212377,9.875668557973281,98.39297862910871,58.415672388197486,11.683134477639452,0.15162510907334262,6.2659694784806526,1.8992709348065517,92862
delta,0.95,0.1,1.0,0.005,0.7,10,5.0,0.1955331592864057,1.7302552026538212,5.7814512078982645,10.003386031355191,97.4353055555026,56.312678849951624,11.262535769990308,0.1597400135448275,6.591236939929092,1.9864872765357733,92862
