burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
strong,0.9,0.01,500,0.16071428571428573,10,1.0,2.919886554764162e-14,1.1860606111185983,2.24318340970468,2.660551485765434
strong,0.9,0.01,500,0.22142857142857142,10,1.0,1.7413814834554842e-10,1.1546681230953415,2.956436859582502,3.4137033997040134
strong,0.9,0.01,500,0.28214285714285714,10,1.0,1.352150620359538e-07,1.1476892958716929,3.6453147774071093,4.183688750113042
strong,0.9,0.01,500,0.34285714285714286,10,1.0,1.0607283172148207e-05,1.1688027594938026,4.285517570630438,5.0089247624120325
strong,0.9,0.01,500,0.4035714285714286,10,1.0,0.000196192300503939,1.2467625702850564,4.814771568511716,6.00287697609308
strong,0.9,0.01,500,0.4642857142857143,10,1.0,0.0015720674483458152,1.504511086701396,5.161056847030224,7.7648672454531225
strong,0.9,0.01,500,0.525,10,1.0,0.012875880924490213,2.958556360235642,5.377157471244683,15.908623436539557
strong,0.9,0.01,500,0.5857142857142857,10,1.0,0.0900857908528796,4.318917593864933,5.443219278618882,23.50881550969188
strong,0.9,0.01,500,0.6464285714285714,10,1.0,0.16801411902859342,4.507519760751424,5.467608895452333,24.645355140311658
strong,0.9,0.01,500,0.7071428571428571,10,1.0,0.2338448969343181,4.5691461703963245,5.487160594125282,25.07163881499715
strong,0.9,0.01,500,0.7678571428571428,10,1.0,0.28966719598826074,4.594029008712152,5.504874672073754,25.28955393283162
strong,0.9,0.01,500,0.8285714285714285,10,1.0,0.3374961401929679,4.602894204729828,5.521603639710498,25.415357394038573
strong,0.9,0.01,500,0.8892857142857142,10,1.0,0.3788991336534534,4.60326140158743,5.537717200207916,25.491559840623907
strong,0.9,0.01,500,0.95,10,1.0,0.41507518105553654,4.598572664509513,5.553411215917204,25.537765012297392
strong,0.9,0.01,1000,0.1,10,1.0,3.375077994860476e-14,1.2601496346813825,1.5235138218328643,1.919855386014721
strong,0.9,0.01,1000,0.16071428571428573,10,1.0,4.8183679268731794e-14,1.1860606111191134,2.2431834097048653,2.6605514857668093
strong,0.9,0.01,1000,0.22142857142857142,10,1.0,2.4424906541753444e-15,1.1546681256064528,2.9564368604407365,3.4137034081189315
strong,0.9,0.01,1000,0.28214285714285714,10,1.0,1.532107773982716e-14,1.147691558005316,3.645315378235594,4.183697685867947
strong,0.9,0.01,1000,0.34285714285714286,10,1.0,5.506284317391419e-11,1.169019489124768,4.285554139550597,5.009896310833974
strong,0.9,0.01,1000,0.4035714285714286,10,1.0,5.755267418194876e-08,1.2520818594286056,4.815243274200564,6.029078752362129
strong,0.9,0.01,1000,0.4642857142857143,10,1.0,1.0900083240783509e-05,1.5706173008885265,5.164247070122177,8.111055794396774
strong,0.9,0.01,1000,0.525,10,1.0,0.001499169045721449,4.0378457399669125,5.40427618472138,21.82163357008186
strong,0.9,0.01,1000,0.5857142857142857,10,1.0,0.060430865523317334,7.686313512354907,5.522808396228699,42.45003680207979
strong,0.9,0.01,1000,0.6464285714285714,10,1.0,0.13712807949524786,8.341830781716602,5.5596988799995195,46.37806725425531
strong,0.9,0.01,1000,0.7071428571428571,10,1.0,0.20412601959377008,8.577844607027606,5.584678170008388,47.90450152259125
strong,0.9,0.01,1000,0.7678571428571428,10,1.0,0.26154527880821876,8.689253424056451,5.605551503150595,48.708057592476095
strong,0.9,0.01,1000,0.8285714285714285,10,1.0,0.3109888665149103,8.74629275948231,5.624382031461286,49.19249183833225
strong,0.9,0.01,1000,0.8892857142857142,10,1.0,0.3539121116280495,8.774477214316466,5.642000540132284,49.50560518255192
strong,0.9,0.01,1000,0.95,10,1.0,0.39148560719916503,8.78543916586964,5.658822685158613,49.715242450904086
