burst_name,delta,sigma,alpha,beta,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
strong,0.9,0.01,1.0,3.727593720314938,0.7,0.23202358113712807,1.8906889714629604,4.200763034152145,7.942336340400745,101.6403181841346,53.75834932040052,10.751669864080084,0.36277383700550175,0.09732118471721429,8.7882351141972,8442
strong,0.9,0.01,1.0,7.196856730011514,0.7,0.23205380721802815,1.8936519648021508,4.202558155356321,7.958182508085801,101.79559717767289,53.756233494737515,10.751246698947485,0.3935537552691959,0.054684116974017344,8.800515428809302,8442
strong,0.9,0.01,1.0,13.894954943731374,0.7,0.2320728229809127,1.89550453994969,4.204055266834283,7.968805844483788,101.89266152732907,53.7549023913356,10.750980478267099,0.41278769403604537,0.02970773893889224,8.806524088757962,8442
strong,0.9,0.01,1.0,26.826957952797247,0.7,0.2320844144190305,1.8965564699425992,4.204949777002641,7.974924705358048,101.94766905423334,53.75409099066735,10.750818198133459,0.42367796456744145,0.01579299320157406,8.809710844097527,8442
strong,0.9,0.01,1.0,51.794746792312075,0.7,0.23209140820171392,1.89712664667394,4.20543037681122,7.978234028580594,101.97738961972631,53.75360142587951,10.750720285175873,0.4295538999839435,0.008293387391319337,8.811432427448864,8442
strong,0.9,0.01,1.0,100.0,0.7,0.23209558500290106,1.8974297575561365,4.20568150312788,7.979985234838261,101.99312815819529,53.753309049796414,10.750661809959272,0.4326603700827997,0.004326603700827998,8.812351216257099,8442
strong,0.9,0.01,10.0,0.01,0.7,0.2269840180847188,1.8413813510279413,5.122502807291032,9.432481139933984,99.63920492017363,54.111118734069166,10.822223746813812,0.004662526845933628,4.662526845933478,4.510586880406777,8442
strong,0.9,0.01,10.0,0.019306977288832496,0.7,0.22702430647549354,1.841736981793919,4.830134554682385,8.895837436399251,99.65325445543107,54.108298546714934,10.821659709342978,0.006495609063762579,3.364384267194261,5.807460414398999,8442
strong,0.9,0.01,10.0,0.0372759372031494,0.7,0.22705467129135581,1.8420815251750047,4.598612150320082,8.471018483549924,99.66798169891507,54.106173009604575,10.821234601920898,0.008704323500984677,2.335105205684537,6.834955868893581,8442
strong,0.9,0.01,10.0,0.07196856730011521,0.7,0.22707575719611506,1.842439734708286,4.434044447729699,8.169459675959855,99.68464358028253,54.10469699627143,10.820939399254272,0.011524978345857575,1.601390548431664,7.566145073968207,8442
strong,0.9,0.01,10.0,0.13894954943731375,0.7,0.22709030247985929,1.8428550301144517,4.322378008218234,7.965516054501057,99.7052366729452,54.103678826409336,10.820735765281853,0.015290730980981035,1.1004520016726698,8.063521502064496,8442
strong,0.9,0.01,10.0,0.2682695795279725,0.7,0.22710107102152755,1.843372126356691,4.247074198787699,7.82893819661392,99.73182395188896,54.10292502849256,10.82058500569849,0.020347293275344167,0.7584644263857869,8.400603274640378,8442
strong,0.9,0.01,10.0,0.517947467923121,0.7,0.22711022132051595,1.8440244288587029,4.195778316030104,7.7371177128351425,99.76593428901059,54.10228450756337,10.820456901512653,0.026948232176976103,0.5202889066150578,8.632305959695314,8442
strong,0.9,0.01,10.0,1.0,0.7,0.22711933224116487,1.8448220124619101,4.160667877815644,7.675691687537482,99.80790882214218,54.10164674311794,10.820329348623577,0.03512361953909046,0.35123619539090734,8.793310836446425,8442
strong,0.9,0.01,10.0,1.9306977288832496,0.7,0.22712948434547253,1.845732075807812,4.136845182964168,7.635507846848002,99.855833083277,54.10093609581641,10.82018721916327,0.04446443033137083,0.23030239102777614,8.905045959477585,8442
strong,0.9,0.01,10.0,3.727593720314938,0.7,0.22714116557954545,1.846645683891215,4.120867156798096,7.6097815489902665,99.90375015877999,54.1001184094313,10.820023681886246,0.05376741707614272,0.14424162371321889,8.981967277324392,8442
strong,0.9,0.01,10.0,7.196856730011514,0.7,0.22715418962814982,1.847405889559599,4.110336263535039,7.5934594213250275,99.94319312616824,54.099206726028996,10.819841345205807,0.061343572623905517,0.08523661776966876,9.03357846440062,8442
strong,0.9,0.01,10.0,13.894954943731374,0.7,0.22716791968563088,1.8479335785342206,4.103700063572881,7.583365143709343,99.96996462469552,54.09824562200532,10.819649124401067,0.06636862718253958,0.04776455012002894,9.066217698296365,8442
strong,0.9,0.01,10.0,26.826957952797247,0.7,0.22718147972506197,1.8482682468895029,4.099789422445984,7.577510608440367,99.98631521426,54.09729641924515,10.819459283849033,0.06931362194332823,0.025837302188823644,9.085389792018814,8442
strong,0.9,0.01,10.0,51.794746792312075,0.7,0.22719377464261048,1.8484794206790287,4.09761640862184,7.57435960517418,99.99614826220325,54.09643577501675,10.819287155003348,0.07098544620500391,0.013705143977176605,9.096022254814471,8442
strong,0.9,0.01,10.0,100.0,0.7,0.22720370064115314,1.848612987601572,4.096452494035659,7.57275528356717,100.00208930356281,54.095740955118764,10.819148191023745,0.07193567395333077,0.007193567395333096,9.101722567627592,8442
