burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
weak,0.3,1.0,500,0.22142857142857142,10,5.0,1.1213252548714081e-14,1.117248555052593,2.604880451538735,2.910298920566398
weak,0.3,1.0,500,0.28214285714285714,10,5.0,6.439293542825908e-15,1.1232162978726474,2.9469951554948124,3.3101129884035103
weak,0.3,1.0,500,0.34285714285714286,10,5.0,1.554312234475219e-14,1.1230744987102654,3.412089314767476,3.8320304967371364
weak,0.3,1.0,500,0.4035714285714286,10,5.0,1.9539925233402755e-14,1.1161354835952049,3.929909544719597,4.3863114901810185
weak,0.3,1.0,500,0.4642857142857143,10,5.0,7.716050021144838e-14,1.1093969087881652,4.451074890668655,4.938008724492426
weak,0.3,1.0,500,0.525,10,5.0,3.3291147616409944e-12,1.106245305269531,4.958786446744139,5.4856342265448825
weak,0.3,1.0,500,0.5857142857142857,10,5.0,9.154987878901011e-11,1.1081130837302033,5.444067938503212,6.032642911371525
weak,0.3,1.0,500,0.6464285714285714,10,5.0,1.8821634251153796e-09,1.117352764254811,5.895713736148235,6.587592040340288
weak,0.3,1.0,500,0.7071428571428571,10,5.0,3.286853944572954e-08,1.1391188662192944,6.300658799329792,7.177199307927173
weak,0.3,1.0,500,0.7678571428571428,10,5.0,5.431482767992435e-07,1.1848607505372533,6.648405160468167,7.87743432830806
weak,0.3,1.0,500,0.8285714285714285,10,5.0,9.305131688508439e-06,1.2818950580010184,6.936803797753207,8.892254506662532
weak,0.3,1.0,500,0.8892857142857142,10,5.0,0.00017456003923266294,1.5069939931735,7.173296137103773,10.810114189870058
weak,0.3,1.0,500,0.95,10,5.0,0.0029674215769021073,2.0902542326564375,7.364934910155053,15.39458636919076
weak,0.3,1.0,1000,0.1,10,5.0,1.2434497875801753e-14,1.2002804322470135,2.3297633606877053,2.796369373599494
weak,0.3,1.0,1000,0.16071428571428573,10,5.0,2.0317081350640365e-14,1.1302373328844575,2.4157192243599286,2.730336053138276
weak,0.3,1.0,1000,0.22142857142857142,10,5.0,1.6542323066914832e-14,1.1172485550527131,2.60488045153872,2.9102989205666936
weak,0.3,1.0,1000,0.28214285714285714,10,5.0,6.439293542825908e-15,1.1232162978726499,2.9469951554947804,3.3101129884034814
weak,0.3,1.0,1000,0.34285714285714286,10,5.0,1.7430501486614958e-14,1.1230744987103263,3.4120893147674423,3.832030496737306
weak,0.3,1.0,1000,0.4035714285714286,10,5.0,3.608224830031759e-14,1.11613548359552,3.929909544719517,4.386311490182168
weak,0.3,1.0,1000,0.4642857142857143,10,5.0,1.3322676295501878e-14,1.1093969087893483,4.451074890669018,4.938008724498094
